model,bucket,n_predictions,avg_predicted_prob,actual_win_rate,gap
uncalibrated,0.0-0.1,0,,,
uncalibrated,0.1-0.2,4,0.1789282746970481,0.25,-0.07107172530295189
uncalibrated,0.2-0.3,19,0.2713564936191185,0.3157894736842105,-0.044432980065092
uncalibrated,0.3-0.4,66,0.35987058475644845,0.2727272727272727,0.08714331202917575
uncalibrated,0.4-0.5,139,0.4546187944933005,0.34532374100719426,0.10929505348610624
uncalibrated,0.5-0.6,244,0.5532474552377583,0.4672131147540984,0.08603434048365993
uncalibrated,0.6-0.7,346,0.6516091174468095,0.5520231213872833,0.09958599605952623
uncalibrated,0.7-0.8,325,0.7459596171931945,0.6738461538461539,0.07211346334704061
uncalibrated,0.8-0.9,134,0.8381049306625852,0.7910447761194029,0.04706015454318224
uncalibrated,0.9-1.0,5,0.9468517808971768,1.0,-0.05314821910282319
platt,0.0-0.1,0,,,
platt,0.1-0.2,1,0.17755071038885828,0.0,0.17755071038885828
platt,0.2-0.3,12,0.2637229656606163,0.25,0.013722965660616315
platt,0.3-0.4,81,0.3583124079514243,0.2839506172839506,0.07436179066747373
platt,0.4-0.5,221,0.4570847317754247,0.40271493212669685,0.054369799648727846
platt,0.5-0.6,371,0.5548975688462695,0.5013477088948787,0.05354985995139083
platt,0.6-0.7,403,0.6485500469785086,0.6253101736972705,0.02323987328123811
platt,0.7-0.8,169,0.7394304149696244,0.7869822485207101,-0.04755183355108572
platt,0.8-0.9,22,0.8181862114988404,0.9090909090909091,-0.09090469759206865
platt,0.9-1.0,2,0.9500771988074552,1.0,-0.049922801192544775
isotonic,0.0-0.1,0,,,
isotonic,0.1-0.2,0,,,
isotonic,0.2-0.3,54,0.2603485838779956,0.2777777777777778,-0.017429193899782203
isotonic,0.3-0.4,10,0.35927924877913775,0.4,-0.04072075122086227
isotonic,0.4-0.5,69,0.41666666666666674,0.2608695652173913,0.15579710144927544
isotonic,0.5-0.6,732,0.5408924869708849,0.5068306010928961,0.03406188587798875
isotonic,0.6-0.7,236,0.6690759730676222,0.6567796610169492,0.012296312050673053
isotonic,0.7-0.8,33,0.7358119379136022,0.8181818181818182,-0.08236988026821601
isotonic,0.8-0.9,143,0.8279639528019747,0.7902097902097902,0.03775416259218445
isotonic,0.9-1.0,5,0.9852043672141411,1.0,-0.014795632785858936
